DataOwnerCode|OperationDate|LinePlanningNumber|JourneyNumber|FortifyOrderNumber|UserStopOrderNumber|UserStopCode|LocalServiceLevelCode|JourneyPatternCode|LineDirection|LastUpdateTimeStamp|DestinationCode|IsTimingStop|ExpectedArrivalTime|ExpectedDepartureTime|TripStopStatus|MessageContent|MessageType|SideCode|NumberOfCoaches|WheelChairAccessible|OperatorCode|ReasonType|SubReasonType|ReasonContent|AdviceType|SubAdviceType|AdviceContent|TimingPointDataOwnerCode|TimingPointCode|JourneyStopType|TargetArrivalTime|TargetDepartureTime|RecordedArrivalTime|RecordedDepartureTime|DetectedUserStopCode|DistanceSinceDetectedUserStop|Detected_RD_X|Detected_RD_Y|VehicleNumber|BlockCode|LineVeTagNumber|VejoJourneyNumber|VehicleJourneyType|VejoBlockNumCode|JourneyModificationType|VejoDepartureTime|VejoArrivalTime|VejoTripStatusType|ExtraJourney|CancelledJourney|ShowCancelledTrip|ShowFlexibleTrip|Monitored|MonitoringError|ExtraCall|CancelledCall|ShowCancelledStop|AimedQuayRef|ExpectedQuayRef|ActualQuayRef|Occupancy|LineDestIcon|LineDestColor|LineDestTextColor
QBUZZ|2023-05-04|d027|8480|0|21|17290480|8751121|338221|2|2023-05-04T23:12:46+02:00|763|0|23:30:43|23:30:43|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|17290480|INTERMEDIATE|23:30:00|23:30:00|\0|\0|17290480|334|\0|\0|7903|401910|27|8480|PUJO|\0|NONE|23:05:00|23:54:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|d027|8480|0|23|17300040|8751121|338221|2|2023-05-04T23:12:46+02:00|763|0|23:33:25|23:33:25|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|17300040|INTERMEDIATE|23:33:00|23:33:00|\0|\0|17300040|1100|\0|\0|7903|401910|27|8480|PUJO|\0|NONE|23:05:00|23:54:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|d027|8480|0|25|17300060|8751121|338221|2|2023-05-04T23:12:46+02:00|763|0|23:34:19|23:34:19|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|17300060|INTERMEDIATE|23:34:00|23:34:00|\0|\0|17300060|548|\0|\0|7903|401910|27|8480|PUJO|\0|NONE|23:05:00|23:54:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|d027|8480|0|29|17310020|8751121|338221|2|2023-05-04T23:12:46+02:00|763|0|23:37:01|23:37:01|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|17310020|INTERMEDIATE|23:37:00|23:37:00|\0|\0|17310020|665|\0|\0|7903|401910|27|8480|PUJO|\0|NONE|23:05:00|23:54:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|g065|8114|0|48|10310220|8751620|338239|2|2023-05-04T23:12:46+02:00|586|1|23:19:25|00:00:00|CANCEL|\0|\0|-|1|UNKNOWN|\0|\0|\0||\0|\0||ALGEMEEN|10310220|LAST|23:15:00|00:00:00|\0|\0|10310220|257|\0|\0|7319|455613|65|8114|PUJO|\0|NONE|22:11:00|23:15:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|g065|8114|0|44|10301140|8751620|338239|2|2023-05-04T23:12:46+02:00|586|0|23:16:43|23:16:43|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|10301140|INTERMEDIATE|23:12:00|23:12:00|\0|\0|10301140|2786|\0|\0|7319|455613|65|8114|PUJO|\0|NONE|22:11:00|23:15:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|m388|1070|0|1|53650040|8748867|358212|2|2023-05-04T23:12:46+02:00|3389|1|23:11:00|23:11:18|PASSED|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|53650040|FIRST|23:11:00|23:11:00|23:07:32|23:11:21|53650040|0|110988|427273|6205|700314|388|1070|PUJO|\0|NONE|23:11:00|24:03:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|00a7e1|ffffff
QBUZZ|2023-05-04|m491|1138|0|1|53140100|8748881|340568|2|2023-05-04T23:12:46+02:00|3383|1|23:12:00|23:12:00|PASSED|\0|\0|G|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|31003706|FIRST|23:12:00|23:12:00|23:04:10|23:12:17|53140100|0|93107|433479|6304|700236|491|1138|PUJO|\0|NONE|23:12:00|23:55:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|ff0000|ffffff
QBUZZ|2023-05-04|d021|8470|0|41|18000030|8751081|299725|2|2023-05-04T23:12:46+02:00|282|0|23:14:14|23:14:14|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|18000030|INTERMEDIATE|23:12:00|23:12:00|\0|\0|18000030|206|\0|\0|7919|401909|21|8470|PUJO|\0|NONE|22:32:00|23:16:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
QBUZZ|2023-05-04|d021|8470|0|40|18000520|8751081|299725|2|2023-05-04T23:12:46+02:00|282|0|23:13:20|23:13:20|DRIVING|\0|\0|-|1|UNKNOWN|\0|\0|\0|\0|\0|\0|\0|ALGEMEEN|18000520|INTERMEDIATE|23:11:00|23:11:00|\0|\0|18000520|6389|\0|\0|7919|401909|21|8470|PUJO|\0|NONE|22:32:00|23:16:00|\0|0|0|TRUE|FALSE|1|0|0|0|1|\0|\0|\0|\0|\0|\0|\0
